s,rpm
3.0314975,-1.64E-06
3.0410192,-5.53E-06
3.05063946,-1.84E-06
3.06036109,-1.564892275
3.07018699,2.769055274
3.08012024,2.650250902
3.09005349,7.465285177
3.09998674,9.071646372
3.10992717,9.606310472
3.11987222,9.784763747
3.12982117,9.844850553
3.1397735,9.865755279
3.14972883,9.873817463
3.15968683,9.877779766
3.16964725,9.880529183
3.17960986,9.883007042
3.18957445,9.88551033
3.19954085,9.888124258
3.20950891,9.890865693
3.2194785,9.893730437
3.22944948,9.896708628
3.23942175,9.899789606
3.2493952,9.902963333
3.25936975,9.90622072
3.26934532,9.909553611
3.27932182,9.912954688
3.28929919,9.91641736
3.29927736,9.919935669
3.30925628,9.923504203
3.31923589,9.927118026
3.32921614,9.930772621
3.33919699,9.93446384
3.3491784,9.938187861
3.35916032,9.94194115
3.36914272,9.945720433
3.37912557,9.949522668
3.38910883,9.953345021
3.39909248,9.957184845
3.4090765,9.951654464
3.41906084,9.943426439
3.42907379,9.924034905
3.43911419,9.900485882
3.44918484,9.873829639
3.45928854,9.844456265
3.46942804,9.812526182
3.47960613,9.778116353
3.48982561,9.741270704
3.50008931,9.702018063
3.5104001,9.660378909
3.52076092,9.61636817
3.53117475,9.569996552
3.54164467,9.521271269
3.55217382,9.470196502
3.56276543,9.416773703
3.57342284,9.361001812
3.58414951,9.302877399
3.59494899,12.47166123
3.605825,3.646546561
3.61670916,3.914398105
3.62759333,-5.852813841
3.63847749,-9.103707668
3.64936983,-10.18008135
3.66026693,-10.53292112
3.6711679,-10.64500638
3.68207215,-10.67714153
3.69297922,-10.6828589
3.70388874,-10.67995664
3.71480041,-10.67433427
3.72571399,-10.66793311
3.73662925,-10.66138052
3.74754602,-10.65486975
3.75846414,-10.64845223
3.76938346,-10.6421343
3.78030386,-10.63590906
3.79122523,-10.62976654
3.80214748,-10.62369692
3.81307052,-10.61769132
3.82399427,-10.61174201
3.83491867,-10.60584224
3.84584365,-10.59998621
3.85676916,-10.59416887
3.86769514,-10.58838586
3.87862157,-10.58263337
3.88954838,-10.57690815
3.90047555,-10.57120735
3.91140305,-10.56552852
3.92233084,-10.55986955
3.9332589,-10.55422863
3.9441872,-10.54860422
3.95511572,-10.542995
3.96604445,-10.53739987
3.97697335,-10.53181793
3.98790242,-10.52624841
3.99883165,-10.52069072
4.00976101,-10.51514438
4.0206905,-10.50960905
4.0316201,-10.50408446
4.04254981,-10.49857048
4.05347961,-10.49306703
4.06440949,-10.48757412
4.07533946,-10.48209182
4.0862695,-10.47662027
4.0971996,-10.47115966
4.10812976,-10.46571022
4.11905998,-10.46027225
4.12999024,-10.45484605
4.14092055,-10.44943199
4.1518509,-10.44403044
4.16278129,-10.43864183
4.17371171,-10.43326659
4.18464216,-10.42790517
4.19557264,-10.42255806
4.20650315,-10.41722574
4.21743368,-10.41190873
4.22836423,-10.40660754
4.2392948,-10.4013227
4.25022539,-10.39605476
4.261156,-10.39080426
4.27208662,-10.38557174
4.28301725,-10.38035778
4.29394789,-10.37516293
4.30487855,-10.36998775
4.31580922,-12.0299511
4.32673989,-7.464065303
4.33767058,-7.605513646
4.34860127,-2.535171215
4.35947425,-0.845057072
4.37029044,-0.281685691
4.38105071,-0.09389523
4.39175594,-0.03129841
4.40240695,-0.010432803
4.41300458,-0.003477601
4.42354962,-0.0011592
4.43404285,-0.0003864
4.44448503,-0.0001288
4.4548769,-4.29E-05
4.46521919,-1.43E-05
4.4755126,-4.77E-06
4.48575783,-1.59E-06
4.49595555,-5.30E-07
4.50610642,-1.77E-07
4.51621108,-5.89E-08
4.52627016,-1.96E-08
4.53628427,-6.54E-09
4.54625402,-2.18E-09
4.55618,-7.27E-10
4.56606277,-2.42E-10
4.57590291,-8.08E-11
4.58570096,-2.69E-11
4.59545746,-8.98E-12
4.60517294,-2.99E-12
4.61484792,-9.97E-13
4.62448289,-3.32E-13
4.63407837,-1.11E-13
4.64363482,-3.69E-14
4.65315273,-1.23E-14
4.66263256,-4.10E-15
4.67207476,-1.37E-15
4.6814798,-4.56E-16
4.69084809,-1.52E-16
4.70018008,-5.07E-17
4.70947618,-1.69E-17
4.71873682,-5.63E-18
4.72796238,-1.88E-18
4.73715328,-6.26E-19
4.7463099,-2.09E-19
4.75543262,-6.95E-20
4.76452183,-2.32E-20
4.77357789,-7.72E-21
4.78260116,-2.57E-21
4.791592,-8.58E-22
4.80055076,-2.86E-22
4.80947778,-9.53E-23
4.8183734,-3.18E-23
4.82723795,-1.06E-23
4.83607176,-3.53E-24
4.84487514,-1.18E-24
4.85364842,-3.92E-25
4.86239189,-1.31E-25
4.87110587,-4.36E-26
4.87979065,-1.45E-26
4.88844652,-4.84E-27
4.89707378,-1.61E-27
4.9056727,-0.806706774
4.91424358,1.698729945
4.92278667,1.733907664
4.93130226,4.524667313
4.93979061,5.466328333
4.94826064,5.789553234
4.95671256,5.906581248
4.96514656,5.954825701
4.97356285,5.980091276
4.9819616,5.997646444
4.99034302,6.012580931
4.99870728,6.026591547
5.00705458,6.040244127
5.0153851,6.053727509
5.02369901,6.067104867
5.03199649,6.08039748
5.04027773,6.093612661
5.04854289,6.106753065
5.05679214,6.119819793
5.06502565,6.132813421
5.07324359,6.145734352
5.08144613,6.158582928
5.08963343,6.171359468
5.09780564,6.184064278
5.10596293,6.196697663
5.11410545,6.20925992
5.12223336,6.221751345
5.13034681,6.234172231
5.13844596,6.246522865
5.14653094,6.258803533
5.15460192,6.271014518
5.16265903,6.283156099
5.17070242,6.295228553
5.17873224,6.307232154
5.18674862,6.319167174
5.1947517,6.33103388
5.20274162,6.342832538
5.21071851,6.354563413
5.21868252,6.366226764
5.22663377,6.377822851
5.2345724,6.389351928
5.24249853,6.400814251
5.2504123,6.41221007
5.25831382,6.423539634
5.26620324,6.434803191
5.27408066,6.446000986
5.28194622,6.457133261
5.28980004,6.468200258
5.29764223,6.479202216
5.30547292,6.490139371
5.31329222,6.501011959
5.32110024,6.511820213
5.32889712,6.522564366
5.33668295,6.533244647
5.34445786,6.543861284
5.35222195,6.554414504
5.35997533,6.564904533
5.36771811,6.575331594
5.37545041,6.585695909
5.38317232,6.595997698
5.39088396,6.606237182
5.39858543,6.616414578
5.40627683,6.626530102
5.41395827,6.636583971
5.42162984,6.646576397
5.42929165,6.656507594
5.4369438,6.666377774
5.44458639,6.676187147
5.45221951,6.685935923
5.45984326,6.695624309
5.46745773,6.705252514
5.47506303,6.714820743
5.48265924,6.724329202
5.49024646,6.733778096
5.49782478,6.743167627
5.50539429,6.752498
5.51295508,6.761769414
5.52050725,6.770982073
5.52805087,6.780136175
5.53558604,6.78923192
5.54311284,6.798269507
5.55063136,6.807249135
5.55814168,6.816171
5.56564389,6.8250353
5.57313808,6.83384223
5.58062432,6.842591986
5.5881027,6.851284764
5.59557329,7.759873239
5.60303619,3.9509719
5.61049146,3.583300505
5.61793919,-0.655772329
5.62537945,-2.071507282
5.6328039,-2.547159535
5.64021271,-2.709426866
5.64760602,-2.767208768
5.65498399,-2.790138635
5.66234679,-2.801427823
5.66969455,-2.808813673
5.67702742,-2.814875519
5.68434557,-2.820473353
5.69164912,-2.825894054
5.69893821,-2.831233455
5.706213,-2.83652371
5.71347362,-2.841775739
5.7207202,-2.846993383
5.72795288,-2.85217812
5.73517178,-2.857330638
5.74237705,-2.862451359
5.7495688,-2.867540613
5.75674717,-2.872598697
5.76391227,-2.877625894
5.77106423,-2.882622482
5.77820318,-2.887588732
5.78532923,-2.892524911
5.79244249,-2.897431283
5.79954309,-2.890730883
5.80663114,-2.884192432
5.81379223,-2.866096626
5.8209972,-2.848164263
5.82824679,-2.830236797
5.83554174,-2.812260571
5.84288285,-2.79421686
5.85027091,-2.776098557
5.85770673,-2.757902399
5.86519119,-2.739626375
5.87272513,-2.721268859
5.88030946,-2.702828323
5.88794512,-2.684303235
5.89563304,-2.665692027
5.90337422,-2.646993085
5.91116966,-2.628204736
5.91902043,-2.60932525
5.92692759,-2.590352835
5.93489227,-2.571285633
5.94291562,-2.552121719
5.95099882,-2.532859093
5.95914312,-2.513495684
5.96734979,-2.494029339
5.97562015,-2.474457823
5.98395556,-2.454778813
5.99235746,-2.434989894
6.00082729,-2.415088554
6.0093666,-2.39507218
6.01797696,-2.37493805
6.02666001,-2.354683327
6.03541747,-2.334305057
6.0442511,-2.313800157
6.05316276,-2.293165409
6.06215437,-2.272397452
6.07122793,-2.251492776
6.08038553,-2.230447708
6.08962935,-2.209258406
6.09896166,-2.187920845
6.10838486,-2.166430809
6.11790141,-2.144783872
6.12751393,-2.122975392
6.13722513,-2.101000489
6.14703789,-2.078854034
6.1569552,-2.056530624
6.16698021,-2.034024571
6.17711623,-3.573831245
6.18736676,1.474080017
6.19764311,1.593013789
6.20794852,7.176435789
6.21828615,9.017982804
6.22865915,9.610386986
6.23907062,9.784592686
6.2495237,9.817606898
6.26002154,9.801784771
6.27056736,9.767926113
6.2811644,9.726308456
6.291816,9.680365375
6.30252554,9.631246378
6.31329652,9.579337191
6.32413254,9.524766758
6.33503729,9.467576399
6.34601461,9.407776317
6.35706846,9.345364502
6.36820296,9.280333074
6.37942239,9.212670405
6.39073123,9.142361811
6.40213414,9.069389742
6.41363598,8.993733788
6.4252419,8.91537059
6.43695726,12.12316545
6.44878773,3.16420246
6.46062743,3.440586085
6.47246713,-6.462834616
6.48430683,-9.75798512
6.49615578,-10.84773163
6.50800953,-11.20398957
6.51986703,-11.31624012
6.5317276,-11.34749726
6.54359073,-11.35201643
6.55545601,-11.34782835
6.56732313,-11.34090452
6.57919182,-11.33320646
6.59106188,-11.32536564
6.6029331,-11.31757492
6.61480535,-11.30988443
6.62667847,-11.30229939
6.63855238,-11.29481214
6.65042695,-11.28741234
6.66230212,-11.28009013
6.6741778,-11.27283688
6.68605394,-11.26564526
6.69793047,-11.25850914
6.70980736,-11.25142339
6.72168455,-11.24438376
6.73356201,-11.23738675
6.74543971,-12.5103415
6.75731761,-7.640044428
6.76919571,-7.294216127
6.78107396,-1.884921339
6.79295235,-0.080110404
6.80475689,0.524903089
6.81648894,0.729963156
6.82814983,0.801684851
6.83974086,0.828940228
6.85126328,0.841353666
6.86271829,0.848800308
6.87410709,0.854572206
6.88543081,0.859767039
6.89669057,0.864751021
6.90788745,0.869646535
6.91902251,0.874494674
6.93009676,0.879309433
6.94111121,0.884095761
6.95206681,0.888855586
6.96296451,0.89358982
6.97380523,0.898299033
6.98458987,0.902983669
6.99531929,0.907644127
7.00599434,0.912280783
7.01661584,0.916894001
7.02718461,0.921484132
7.03770143,0.926051519
7.04816707,0.930596497
7.05858228,0.935119393
7.06894777,0.939620523
7.07926428,0.9441002
7.08953249,0.948558725
7.09975309,0.952996395
7.10992673,0.9574135
7.12005407,0.961810321
7.13013575,0.966187135
7.14017237,0.970544211
7.15016455,0.974881814
7.16011287,0.9792002
7.17001793,0.983499621
7.17988028,0.987780325
7.18970048,0.992042553
7.19947907,0.996286539
7.20921658,1.000512517
7.21891354,1.00472071
7.22857045,1.008911341
7.23818782,1.013084627
7.24776612,1.017240779
7.25730584,1.021380006
7.26680745,1.025502511
7.2762714,1.029608493
7.28569816,1.033698149
7.29508815,1.037771669
7.30444181,1.041829242
7.31375957,1.045871052
7.32304184,0.352187145
7.33228903,0.468035066
7.34150154,-0.189724751
7.35067977,-0.063241584
7.35982386,-0.021080528
7.3689342,-0.007026843
7.37801116,-0.002342281
7.3870551,-0.00078076
7.39606638,-0.000260253
7.40504536,-8.68E-05
7.41399239,-2.89E-05
7.42290781,-9.64E-06
7.43179195,-3.21E-06
7.44064514,-1.07E-06
7.44946771,-3.57E-07
7.45825996,-1.19E-07
7.46702223,-3.97E-08
7.4757548,-1.32E-08
7.48445799,-4.41E-09
7.49313209,-1.47E-09
7.50177739,-4.90E-10
7.51039418,-1.63E-10
7.51898274,-5.44E-11
7.52754335,-1.81E-11
7.53607628,-6.05E-12
7.5445818,-2.02E-12
7.55306018,-6.72E-13
7.56151168,-2.24E-13
7.56993654,-7.46E-14
7.57833503,-2.49E-14
7.58670739,-8.29E-15
7.59505387,-2.76E-15
7.6033747,-9.21E-16
7.61167012,-3.07E-16
7.61994038,-1.02E-16
7.62818568,-3.41E-17
7.63640627,-1.14E-17
7.64460236,-3.79E-18
7.65277417,-1.26E-18
7.66092193,-4.21E-19
7.66904584,-1.40E-19
7.67714611,-4.68E-20
7.68522303,-1.56E-20
7.69327689,-5.20E-21
7.70130799,-1.73E-21
7.70931661,-5.78E-22
7.71730302,-1.93E-22
7.72526751,-6.42E-23
7.73321033,-2.14E-23
7.74113175,-7.14E-24
7.74903203,-2.38E-24
7.75691142,-7.93E-25
7.76477017,-2.64E-25
7.77260852,-8.81E-26
7.7804267,-2.94E-26
7.78822497,-9.79E-27
7.79600353,-3.26E-27
7.80376263,-1.09E-27
7.81150248,-3.63E-28
7.8192233,-1.21E-28
7.82692531,-4.03E-29
7.83460871,-1.34E-29
7.84227371,-4.48E-30
7.84992052,-1.49E-30
7.85754934,-4.97E-31
7.86516036,-1.66E-31
7.87275378,-5.53E-32
7.88032978,-1.84E-32
7.88788855,-6.14E-33
7.89543028,-2.05E-33
7.90295514,-6.82E-34
7.91046332,-2.27E-34
7.91795498,-7.58E-35
7.92543031,-2.53E-35
7.93288947,-8.42E-36
7.94033262,-2.81E-36
7.94775993,-9.36E-37
7.95517156,-3.12E-37
7.96256768,-1.04E-37
7.96994843,-3.47E-38
7.97731396,-1.16E-38
7.98466444,-3.85E-39
7.99200001,-1.28E-39
7.99932082,-4.28E-40
8.00662701,-1.43E-40
8.01391872,-4.75E-41
8.0211961,-1.58E-41
8.02845928,-5.28E-42
8.0357084,-1.76E-42
8.04294359,-5.87E-43
8.05016499,-1.96E-43
8.05737272,-6.52E-44
8.06456692,-2.17E-44
8.07174771,-7.25E-45
8.07891521,-2.42E-45
8.08606955,-8.05E-46
8.09321085,-2.68E-46
8.10033923,-8.95E-47
8.10745481,-2.98E-47
8.1145577,-9.94E-48
8.12164802,-3.31E-48
8.12872588,-1.10E-48
8.13579139,-3.68E-49
8.14284467,-1.23E-49
8.14988581,-4.09E-50
8.15691494,-1.36E-50
8.16393215,-4.54E-51
8.17093754,-1.51E-51
8.17793123,-5.05E-52
8.18491331,-1.68E-52
8.19188388,-5.61E-53
8.19884305,-1.87E-53
8.2057909,-6.23E-54
8.21272754,-2.08E-54
8.21965306,-6.93E-55
8.22656755,-2.31E-55
8.23347111,-7.70E-56
8.24036382,-2.57E-56
8.24724579,-8.55E-57
8.25411709,-2.85E-57
8.26097782,-9.50E-58
8.26782806,-3.17E-58
8.2746679,-1.06E-58
8.28149743,6.97E-06
8.28831672,2.32E-06
8.29512586,-0.048934998
8.30192493,-1.034210691
8.30871401,-1.412959405
8.31549319,-2.509538281
8.32226254,-2.877810668
8.32902214,-3.003298889
8.33577206,-3.047843837
8.34251239,-3.065392592
8.34924319,-3.073927628
8.35596455,-3.079443217
8.36267653,-3.083937562
8.36937921,-3.088076842
8.37607266,-3.092083226
8.38275695,-3.096030879
8.38943214,-3.09994463
8.39609832,-3.103832862
8.40275555,-3.107698474
8.40940389,-3.111542536
8.41604342,-3.115365508
8.4226742,-3.119167644
8.42929629,-3.122949132
8.43590976,-3.12671013
8.44251467,-3.130450793
8.44911109,-3.134171269
8.45569909,-3.137871703
8.46227871,-3.141552239
8.46885002,-3.145213019
8.47541309,-3.148854186
8.48196798,-3.152476056
8.48851473,-3.156079479
8.49505342,-3.159664996
8.50158409,-3.163233521
8.5081068,-3.166785428
8.51462159,-3.170320909
8.52112852,-3.173840098
8.52762765,-3.177343109
8.53411901,-3.180830044
8.54060267,-3.184301007
8.54707866,-3.187756096
8.55354704,-3.191195411
8.56000786,-3.19461905
8.56646117,-3.198027109
8.57290701,-3.201419685
8.57934543,-3.204796872
8.58577647,-3.208158766
8.59220019,-3.211505459
8.59861663,-3.214837045
8.60502583,-3.218153615
8.61142784,-3.22145526
8.6178227,-3.214876947
8.62421047,-3.208274739
8.63065018,-3.191775712
8.63712268,-3.175233045
8.64362842,-3.158637717
8.65016786,-3.141986262
8.65674149,-3.774082867
8.6633498,-0.323979644
8.66998331,0.175491126
8.67664245,3.989772399
8.68332766,5.246335657
8.6900394,5.650175888
8.69677814,5.769624407
8.70354434,5.794124611
8.71033849,5.786823896
8.71716108,5.768770962
8.7240126,5.746981583
8.73089358,5.723793859
8.73780453,5.699986639
8.74474598,5.675818987
8.75171848,5.651376675
8.7587226,5.62668768
8.76575888,5.601760678
8.77282793,5.57659788
8.77993033,5.551199303
8.78706669,5.5255642
8.79423764,5.499691531
8.80144382,5.473580118
8.80868587,5.447228701
8.81596447,5.420635947
8.8232803,5.39380046
8.83063406,5.366720777
8.83802649,5.339395369
8.8454583,5.311822636
8.85293028,5.284000908
8.86044318,5.255928439
8.86799782,5.227603407
8.87559502,5.199023907
8.88323561,5.170187955
8.89092046,5.141093476
8.89865048,5.111738308
8.90642657,5.082120195
8.91424967,5.05223678
8.92212077,5.022085607
8.93004086,4.991664113
8.93801098,4.960969623
8.94603218,4.929999348
8.95410556,4.898750376
8.96223226,4.867219667
8.97041345,4.835404051
8.97865032,4.803300216
8.98694412,4.770904707
8.99529614,4.738213912
9.00370772,4.705224062
9.01218023,4.671931217
9.0207151,4.638331258
9.0293138,4.604419882
9.03797786,4.570192587
9.04670888,4.535644663
9.05550851,4.500771181
9.06437844,4.465566981
9.07332047,4.430026658
9.08233643,4.394144548
9.09142825,4.357914713
9.10059793,4.321330923
9.10984755,4.284386641
9.1191793,4.247075002
9.12859542,4.209388792
9.13809829,4.171320426
9.14769039,4.132861925
9.1573743,4.094004886
9.16715272,4.054740458
9.17702849,4.015059305
9.18700459,3.974951577
9.19708414,3.934406868
9.20727041,3.89341418
9.21756686,3.851961873
9.22797712,3.810037618
9.23850503,3.767628341
9.24915461,3.724720168
9.25993015,3.681298349
9.27083616,3.637347194
9.28187743,3.592849983
9.29305905,5.750958539
9.30438641,-0.562770773
9.31572243,-0.477474551
9.32705844,-7.462225989
9.33839446,-9.78491221
9.34973915,-10.55109127
9.36108863,-10.79989384
9.37244195,-10.8767009
9.38379845,-10.89650704
9.39515765,-10.89756893
9.40651918,-10.89258918
9.41788272,-10.88576636
9.42924801,-10.87847313
9.44061483,-10.87114608
9.451983,-10.84500581
9.46335236,-10.81941903
9.47478251,-10.7736761
9.48625247,-10.72655553
9.49776734,-10.67610089
9.50933218,-10.62173311
9.5209521,-10.56331345
9.53263223,-10.50083676
9.54437785,-10.43433253
9.55619431,-10.36383397
9.56808715,-10.2893691
9.58006206,-10.21095863
9.59212497,-10.1286159
9.604282,-10.04234723
9.61653957,-9.952152311
9.62890439,-9.858024412
9.64138347,-9.759950491
9.65398423,-9.657911157
9.66671448,-9.551880521
9.6795825,-9.441825916
9.69259708,-9.327707517
9.70576757,-9.209477833
9.71910397,-9.087081081
9.732617,-8.960452409
9.74631819,-8.829516976
9.76021996,-8.69418883
9.77433578,-8.554369587
9.78868027,-8.409946839
9.80326937,-8.260792257
9.81812058,-8.106759307
9.8332531,-7.947680495
9.84868818,-7.783364018
9.86444942,-7.613589663
9.88056316,-7.438103745
9.89705901,-7.256612799
9.91397045,-7.068775626
9.93133558,-10.70098395
9.94919814,-0.467468735
9.96707908,-0.808468557
9.98496001,10.4570364
10.002841,14.22453486
10.0207403,15.48752344
10.0386408,15.92110392
10.056542,16.07859281
10.0744435,16.14432056
10.0923452,16.17966929
10.110247,16.20506143
10.1281489,16.22727818
10.1460508,16.24855999
10.1639528,16.26963712
10.1818547,16.2907382
10.1997567,16.3119255
10.2176586,16.33320618
10.2355606,16.35456916
10.2534625,16.37599721
10.2713645,16.39747092
10.2892664,16.41896997
10.3071684,16.44047356
